Company,Project,Cost,URL,rate_card_id
Ernst & Young LLP (EY),ServiceNow Process Optimisation,"200 to 2,600 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/380952915631626,n/a
Cognizant Worldwide Limited,Palantir Foundry Support,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/692150463146051,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
Deloitte LLP,Major Programmes and Complex Programme Delivery,390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/398706152876673,n/a
Equal Experts UK Limited,Cloud Encryption & Secrets Management,"250 to 1,500 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/635175093115500,EqualExpertsUKLimited_578827199791124-sfia-rate-card-2022-04-20-1049.pdf
Capgemini UK plc,Business Process Management (BPM) Solutions with Atlassian Software,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/717696538368477,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
CGI,Payroll Services,1.01 a transaction a month,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/176826590308809,n/a
Ernst & Young LLP (EY),ServiceNow Strategic Portfolio Management (ITBM),"200 to 2,600 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/136935528462927,n/a
Cognizant Worldwide Limited,Microsoft Hybrid Meeting,"1,500 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/609452429734670,CognizantWorldwideLimited_198386448262515-sfia-rate-card-2022-05-10-1509.pdf
Deloitte LLP,Cloud Managed Services powered by OpenCloud,"10,500 a licence",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/783050871562900,n/a
Capgemini UK plc,IT Cost Reduction and Reallocation Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/591051096803256,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
Ernst & Young LLP (EY),HR Technology & Transformation,400 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/393165179538713,n/a
Equal Experts UK Limited,"Build, Run and Operate","250 to 1,500 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/360346464894391,EqualExpertsUKLimited_578827199791124-sfia-rate-card-2022-04-20-1049.pdf
CGI,Situation Awareness Fusion Architecture (SAFA) as a Service,"503 to 1,501 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/651665788323812,CGI_651665788323812-sfia-rate-card-2022-05-16-1903.pdf
Capgemini UK plc,Single View of the Customer,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/124557249759850,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
Ernst & Young LLP (EY),ServiceNow Project and Business Change,"200 to 2,600 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/306347439845782,n/a
Kainos Worksmart Limited,"Workday Implementation, Testing, Optimisation, Change Management & Application Management Services.",750.00 a unit,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/428870029432366,n/a
Cognizant Worldwide Limited,SAP Cloud Security,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/550277538578577,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
Equal Experts UK Limited,Design Sprint,"250 to 1,500 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/583927440131635,EqualExpertsUKLimited_578827199791124-sfia-rate-card-2022-04-20-1049.pdf
Deloitte LLP,Citizen Alpha Platform,390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/122765416412710,n/a
CGI,GeoData 360 Geospatial Data Processing Platform,"16,500 a unit a month",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/729963994627143,CGI_729963994627143-sfia-rate-card-2022-05-16-1522.pdf
Ernst & Young LLP (EY),ServiceNow Shared and Global Business Services,"200 to 2,600 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/560364247157116,n/a
Capgemini UK plc,Finance Transformation,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/385711309878432,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
Cognizant Worldwide Limited,LAN/WAN Managed Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/295408342977633,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
Equal Experts UK Limited,"Data Engineering for AWS, GCP, Azure, Snowflake","250 to 1,500 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/793067305936012,EqualExpertsUKLimited_578827199791124-sfia-rate-card-2022-04-20-1049.pdf
Deloitte LLP,Design and Implementation of a Cloud-based Shared Service Centre,390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/760371958910423,n/a
CGI,iD360 Intelligence Led Strategy and Transformation,"1,140 to 1,498 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/838594319358749,CGI_219391459758665-sfia-rate-card-2022-05-16-1527.pdf
Kainos Worksmart Limited,Smart Test - Automated Workday Testing and Supporting Services,"21,000 a licence a year",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/813731797328396,n/a
Capgemini UK plc,Serverless Project Support Services,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/744327836723954,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
Ernst & Young LLP (EY),Implement and Support Microsoft Dynamics 365 Supply Chain Management,"400 to 2,600 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/416740712221040,n/a
Deloitte LLP,Data Visualisation,390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/784899966945456,n/a
Equal Experts UK Limited,Continuous Delivery,"250 to 1,500 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/279891942172346,EqualExpertsUKLimited_578827199791124-sfia-rate-card-2022-04-20-1049.pdf
Kainos Software Ltd,Robotic Process Automation and Intelligent Automation,500.00 a licence a year,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/594518832065339,n/a
Cognizant Worldwide Limited,Programme Solution Shaping and Enablement Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/258744246866468,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
CGI,iD360 Intelligence Led Investigation Accelerator,"1,140 to 1,498 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/428793068211663,CGI_219391459758665-sfia-rate-card-2022-05-16-1527.pdf
Equal Experts UK Limited,On-Call Support,"250 to 1,500 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/268026489795737,EqualExpertsUKLimited_578827199791124-sfia-rate-card-2022-04-20-1049.pdf
Deloitte LLP,Contract Analytics of Cloud Service Providers,390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/999792454457175,n/a
Cognizant Worldwide Limited,"Microservice Architecture, Design and Development Service on Cloud","400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/605172365892516,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
Capgemini UK plc,Review and Advisory Services (Programme Health Check / Assurance),312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/297606754937963,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
CGI,Empowered Learning,3.00 a unit a month,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/135815781352257,CGI_135815781352257-sfia-rate-card-2022-05-16-1917.pdf
Deloitte LLP,Agile Governance and Programme Design for Cloud Solutions,390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/568323802682133,n/a
Equal Experts UK Limited,Mobile Accelerator,"250 to 1,500 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/384035861146930,EqualExpertsUKLimited_578827199791124-sfia-rate-card-2022-04-20-1049.pdf
Kainos Software Ltd,Business Process Management and Robotic Process Automation,"86,000 an instance a year",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/815383367621028,n/a
Cognizant Worldwide Limited,Cloud Advisory Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/144837888080966,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
Ernst & Young LLP (EY),EY Global VAT Reporting Tool (GVRT),"6,000.00 a licence a year",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/514189952472032,n/a
CGI,Robotic Process Automation (RPA) as a Service,4.71 an instance an hour,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/529182207606160,n/a
Deloitte LLP,Electronic Documents and Records Management (EDRM and ECM),390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/870519410962780,n/a
Capgemini UK plc,Microsoft Azure Services,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/719100783239267,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
Equal Experts UK Limited,Artificial Intelligence and Machine Learning,"250 to 1,500 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/141437189773656,EqualExpertsUKLimited_578827199791124-sfia-rate-card-2022-04-20-1049.pdf
Cognizant Worldwide Limited,Adobe Managed Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/777131739636731,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
Capgemini UK plc,Procurement IT Strategy Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/657072096270246,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
CGI,Cloud Advisory - ServiceNow,"503 to 1,570 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/495723102837111,CGI_664871480955971-sfia-rate-card-2022-05-16-1541.pdf
KPMG LLP,"Microsoft Dynamics 365 Business Central ERP Advisory, Design and Delivery Services","360 to 2,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/341058641615377,KPMGLLP_341058641615377-sfia-rate-card-2022-05-17-1049.pdf
Ernst & Young LLP (EY),"Microsoft Power Apps, Power Automate, Dynamics 365 & Azure Application Consultancy Services","400 to 2,600 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/754333885531262,n/a
Kainos Software Ltd,Design Sprint,595.00 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/727600483762151,KainosSoftwareLtd_727600483762151-sfia-rate-card-2022-05-17-0813.pdf
Cognizant Worldwide Limited,Strategic Quality Assurance Consultancy Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/934209743947123,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
Deloitte LLP,Digital Operating Model Design and Implementation,390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/486045270353584,n/a
CGI,Phishing Defence Service,"725 to 1,498 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/564642869267377,CGI_944715204232422-sfia-rate-card-2022-05-16-1729.pdf
KPMG LLP,KPMG SOFY,"30,000 an instance a year",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/149158329405455,n/a
Equal Experts UK Limited,Legacy Migration to Google Cloud Platform (GCP),"250 to 1,500 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/240028992699709,EqualExpertsUKLimited_578827199791124-sfia-rate-card-2022-04-20-1049.pdf
Kainos Software Ltd,Digital Strategy,595.00 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/622263467205050,KainosSoftwareLtd_727600483762151-sfia-rate-card-2022-05-17-0813.pdf
Capgemini UK plc,Spring Projects Support Services,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/531058590610968,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
Cognizant Worldwide Limited,Identity Infrastructure Management,6.19 a user,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/648244432880876,n/a
Kainos Software Ltd,Lean Agility,595.00 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/718670446519228,KainosSoftwareLtd_727600483762151-sfia-rate-card-2022-05-17-0813.pdf
Capgemini UK plc,Office 365 Transformation,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/335420703790345,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
Deloitte LLP,"OPS Platform - Planning, Design, Integration, Implementation and Support",390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/275472090180195,n/a
Equal Experts UK Limited,Capability Assessment,"250 to 1,500 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/532210678795121,EqualExpertsUKLimited_578827199791124-sfia-rate-card-2022-04-20-1049.pdf
Ernst & Young LLP (EY),Cloud Services for Policing,400 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/510140384720685,Ernst&YoungLLP(EY)_510140384720685-sfia-rate-card-2022-05-11-0957.pdf
KPMG LLP,Microsoft Dynamics 365 Finance & Operations for Healthcare,"360 to 2,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/637424830226453,KPMGLLP_637424830226453-sfia-rate-card-2022-05-17-1118.pdf
Capgemini UK plc,Business Analysis Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/231989067124256,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
Deloitte LLP,Cloud Enabled Police Transformation,390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/434078572517829,n/a
Ernst & Young LLP (EY),Quantexa-powered entity resolution and network analytics,400 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/506109128834354,n/a
Equal Experts UK Limited,Legacy Migration to Cloud,"250 to 1,500 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/488445165922024,EqualExpertsUKLimited_578827199791124-sfia-rate-card-2022-04-20-1049.pdf
Cognizant Worldwide Limited,Service design for user and employee facing services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/151508314878220,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
CGI,Open Source Data Services,"668 to 1,498 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/493108394423111,CGI_780091972422772-sfia-rate-card-2022-05-16-1741.pdf
Kainos Software Ltd,Evolve EMR-as-a-Service,"280,000 a licence a year",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/415922797861880,n/a
Deloitte LLP,Cloud Legal Support,55 a unit an hour,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/135048210578459,n/a
KPMG LLP,"Microsoft Dynamics 365 Finance & Operations Advisory, Design and Delivery Services (D365 F&O)","360 to 2,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/649475178658621,KPMGLLP_637424830226453-sfia-rate-card-2022-05-17-1118.pdf
Capgemini UK plc,Logistics and Supply Chain Strategy Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/386862191352590,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
Ernst & Young LLP (EY),"Data & Analytics Strategy, Operating Model and Governance",200 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/343655123855570,n/a
Cognizant Worldwide Limited,Information Management Business Case Support Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/273011120930547,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
Equal Experts UK Limited,Rapid Prototyping,"250 to 1,500 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/271619262271803,EqualExpertsUKLimited_578827199791124-sfia-rate-card-2022-04-20-1049.pdf
CGI,Process Automation Implementation Support,"725 to 1,498 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/471521080228694,CGI_944715204232422-sfia-rate-card-2022-05-16-1729.pdf
Kainos Software Ltd,Cloud Migration,595.00 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/681793868282246,KainosSoftwareLtd_727600483762151-sfia-rate-card-2022-05-17-0813.pdf
Deloitte LLP,"Cloud Enterprise Resource Planning (ERP) Feasibility, Specification and Selection",390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/661036967534291,n/a
Capgemini UK plc,Business Change Management Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/402075535808918,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
KPMG LLP,Regulatory Platform with Microsoft Dynamics 365,"360 to 2,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/541328532551047,KPMGLLP_637424830226453-sfia-rate-card-2022-05-17-1118.pdf
Kainos Software Ltd,Digital Transformation,595.00 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/246524662936014,KainosSoftwareLtd_727600483762151-sfia-rate-card-2022-05-17-0813.pdf
Ernst & Young LLP (EY),Business Intelligence & Data Visualisation,200 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/283220533539948,n/a
CGI,PCI DSS Health Check Service,"725 to 1,498 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/811108377600224,CGI_944715204232422-sfia-rate-card-2022-05-16-1729.pdf
Cognizant Worldwide Limited,FEGO - Intelligent acceleration for Cloud platform,400 a person a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/375131819312337,CognizantWorldwideLimited_711668666675856-sfia-rate-card-2022-05-16-0848.pdf
Equal Experts UK Limited,Portfolio Management,"250 to 1,500 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/736271692745331,EqualExpertsUKLimited_578827199791124-sfia-rate-card-2022-04-20-1049.pdf
Deloitte LLP,Microsoft Analytics and Business Intelligence,390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/911311487784535,n/a
Ernst & Young LLP (EY),Insight Value Mapping,200 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/691966857156034,n/a
Kainos Software Ltd,"Accessibility audit, accessibility testing, and WCAG 2.1 AA standard compliance",595.00 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/641872408789039,KainosSoftwareLtd_727600483762151-sfia-rate-card-2022-05-17-0813.pdf
Equal Experts UK Limited,UX Forms Consultancy,"300 to 1,250 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/704258223219175,EqualExpertsUKLimited_704258223219175-sfia-rate-card-2022-04-13-1004.pdf
Capgemini UK plc,Oracle Cloud Infrastructure,"5,000 a unit a month",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/210605990251341,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
KPMG LLP,KPMG Powered IT,"360 to 2,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/521131769832446,KPMGLLP_637424830226453-sfia-rate-card-2022-05-17-1118.pdf
Cognizant Worldwide Limited,LAN/WAN Deployment Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/582175385038981,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
CGI,Resource Augmentation and Cloud Support,"372 to 1,570 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/899269730866683,CGI_899269730866683-sfia-rate-card-2022-05-17-1502.pdf
Ernst & Young LLP (EY),Implement and Support Microsoft Dynamics 365 Human Resources,"400 to 2,600 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/537637545649899,n/a
Deloitte LLP,Cloud Digital Strategy and Service Design,390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/423503132162788,n/a
Kainos Software Ltd,Cloud Performance and Testing Services,595.00 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/105021552462361,KainosSoftwareLtd_727600483762151-sfia-rate-card-2022-05-17-0813.pdf
Cognizant Worldwide Limited,Application Compatibility and Remediation Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/474667921954314,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
KPMG LLP,Microsoft Azure Assess & Implementation Service,"360 to 2,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/228022522967584,KPMGLLP_637424830226453-sfia-rate-card-2022-05-17-1118.pdf
Equal Experts UK Limited,Data Engineering on Google Cloud Platform (GCP),"250 to 1,500 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/189017139832573,EqualExpertsUKLimited_578827199791124-sfia-rate-card-2022-04-20-1049.pdf
Capgemini UK plc,Test Data Management,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/961901073921312,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
Ernst & Young LLP (EY),ServiceNow Integrations,"200 to 2,600 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/478742023903138,n/a
Cognizant Worldwide Limited,Low Code Service Delivery,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/864720903106181,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
Kainos Software Ltd,Cloud Landing Zone,595.00 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/924438859815598,KainosSoftwareLtd_727600483762151-sfia-rate-card-2022-05-17-0813.pdf
Capgemini UK plc,Windows 10/11 Evergreen,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/238175226386771,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
KPMG LLP,Microsoft Power BI Design and Implementation Services,"360 to 2,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/717042658500526,KPMGLLP_637424830226453-sfia-rate-card-2022-05-17-1118.pdf
Deloitte LLP,"Build, Migrate, and Manage SAP Systems with Click Automation",390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/771762983555635,n/a
Equal Experts UK Limited,DevSecOps Audit,"250 to 1,500 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/405103984416828,EqualExpertsUKLimited_578827199791124-sfia-rate-card-2022-04-20-1049.pdf
Deloitte LLP,Assessment of Cloud Services Supply Chain and Supplier Integration,390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/137287272763018,n/a
Ernst & Young LLP (EY),Advanced Analytics & Data Science,200 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/841850354749466,n/a
Cognizant Worldwide Limited,Power Platform CoE,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/471978791900485,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
Equal Experts UK Limited,Rapid Service Design,"250 to 1,500 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/800879957787670,EqualExpertsUKLimited_578827199791124-sfia-rate-card-2022-04-20-1049.pdf
KPMG LLP,Customer Self-Service Portals - Microsoft Power Apps Portals Design and Implementation Services,"360 to 2,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/201255812515520,KPMGLLP_637424830226453-sfia-rate-card-2022-05-17-1118.pdf
Kainos Worksmart Limited,Smart Audit - Automated Workday Auditing,"56,000 a licence a year",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/462801900474061,n/a
Deloitte LLP,"Cyber Threat, Monitoring and Intelligence Services",390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/857890941679903,n/a
Ernst & Young LLP (EY),Dispute Services,400 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/503961232817672,n/a
Capgemini UK plc,Supply Chain Operating Model Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/931353797720047,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
Kainos Software Ltd,Cloud Discovery & Strategy,595.00 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/841707330308573,KainosSoftwareLtd_727600483762151-sfia-rate-card-2022-05-17-0813.pdf
Cognizant Worldwide Limited,Customer Communication Management (CCM) - OpenText Exstream,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/271826963727531,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
Equal Experts UK Limited,"Build, Run and Operate on Amazon Web Services (AWS)","250 to 1,500 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/773638742109114,EqualExpertsUKLimited_578827199791124-sfia-rate-card-2022-04-20-1049.pdf
KPMG LLP,Microsoft 365 Assess & Implementation Service,"360 to 2,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/117711722014569,KPMGLLP_637424830226453-sfia-rate-card-2022-05-17-1118.pdf
Ernst & Young LLP (EY),ServiceNow IT Operations Management (ITOM),"200 to 2,600 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/274225329200839,n/a
Deloitte LLP,Customer Engagement Systems Implementation,390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/235254832383170,n/a
Kainos Software Ltd,Discovery,595.00 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/276852847026995,KainosSoftwareLtd_727600483762151-sfia-rate-card-2022-05-17-0813.pdf
KPMG LLP,Cyber Security Access Management,"360 to 2,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/765444685553191,n/a
Capgemini UK plc,Agile Coaching/Ways of Working Training Services,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/824116069290146,CapgeminiUKplc_228635445587348-sfia-rate-card-2022-05-17-1029.pdf
