,Company,Project,Cost,URL,rate_card_id
1315,Kainos Software Ltd,Digital Transformation for Health and NHS,690.00 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/202335625504646,KainosSoftwareLtd_202335625504646-sfia-rate-card-2022-05-16-1408.pdf
1316,Deloitte LLP,Agile Governance and Programme Design for Cloud Solutions,390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/568323802682133,
1317,Ernst & Young LLP (EY),Implement and Support Microsoft Dynamics 365 Human Resources,"400 to 2,600 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/537637545649899,
1318,KPMG LLP,Customer Self-Service Portals - Microsoft Power Apps Portals Design and Implementation Services,"360 to 2,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/201255812515520,KPMGLLP_341058641615377-sfia-rate-card-2022-05-17-1049.pdf
1319,Cognizant Worldwide Limited,Service design for user and employee facing services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/151508314878220,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
1320,Equal Experts UK Limited,Data Engineering on Google Cloud Platform (GCP),"250 to 1,500 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/189017139832573,EqualExpertsUKLimited_431777448349512-sfia-rate-card-2022-04-13-1006.pdf
1321,Capgemini UK plc,Test Data Management,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/961901073921312,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
1322,Kainos Software Ltd,Legacy Modernisation,595.00 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/944699858529910,KainosSoftwareLtd_727600483762151-sfia-rate-card-2022-05-17-0813.pdf
1323,Deloitte LLP,Electronic Documents and Records Management (EDRM and ECM),390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/870519410962780,
1324,Ernst & Young LLP (EY),Business Intelligence & Data Visualisation,200 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/283220533539948,
1325,Cognizant Worldwide Limited,Information Management Business Case Support Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/273011120930547,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
1326,KPMG LLP,Microsoft 365 Assess & Implementation Service,"360 to 2,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/117711722014569,KPMGLLP_341058641615377-sfia-rate-card-2022-05-17-1049.pdf
1327,Equal Experts UK Limited,DevSecOps Audit,"250 to 1,500 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/405103984416828,EqualExpertsUKLimited_431777448349512-sfia-rate-card-2022-04-13-1006.pdf
1328,Capgemini UK plc,Windows 10/11 Evergreen,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/238175226386771,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
1329,Kainos Software Ltd,Technology Modernisation,595.00 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/511436375397466,KainosSoftwareLtd_727600483762151-sfia-rate-card-2022-05-17-0813.pdf
1330,KPMG LLP,Cyber Security Access Management,"360 to 2,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/765444685553191,
1331,Cognizant Worldwide Limited,FEGO - Intelligent acceleration for Cloud platform,400 a person a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/375131819312337,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
1332,Equal Experts UK Limited,Rapid Service Design,"250 to 1,500 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/800879957787670,EqualExpertsUKLimited_431777448349512-sfia-rate-card-2022-04-13-1006.pdf
1333,Ernst & Young LLP (EY),Insight Value Mapping,200 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/691966857156034,
1334,Kainos Software Ltd,User-First Artificial Intelligence (AI) and Machine Learning (ML),595.00 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/217549339484112,KainosSoftwareLtd_727600483762151-sfia-rate-card-2022-05-17-0813.pdf
1335,Deloitte LLP,Digital Operating Model Design and Implementation,390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/486045270353584,
1336,Cognizant Worldwide Limited,LAN/WAN Deployment Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/582175385038981,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
1337,Capgemini UK plc,Supply Chain Operating Model Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/931353797720047,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
1338,Ernst & Young LLP (EY),ServiceNow Integrations,"200 to 2,600 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/478742023903138,
1339,KPMG LLP,KPMG Powered Cyber enabled by Sailpoint,"360 to 2,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/252922784219564,KPMGLLP_341058641615377-sfia-rate-card-2022-05-17-1049.pdf
1340,Equal Experts UK Limited,"Build, Run and Operate on Amazon Web Services (AWS)","250 to 1,500 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/773638742109114,EqualExpertsUKLimited_431777448349512-sfia-rate-card-2022-04-13-1006.pdf
1341,Kainos Software Ltd,Cloud Cyber Security Services,595.00 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/379729476738163,KainosSoftwareLtd_727600483762151-sfia-rate-card-2022-05-17-0813.pdf
1342,Deloitte LLP,"OPS Platform - Planning, Design, Integration, Implementation and Support",390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/275472090180195,
1343,Ernst & Young LLP (EY),Advanced Analytics & Data Science,200 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/841850354749466,
1344,Deloitte LLP,Cloud Enabled Police Transformation,390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/434078572517829,
1345,Cognizant Worldwide Limited,Application Compatibility and Remediation Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/474667921954314,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
1346,Kainos Software Ltd,Launchpad,595.00 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/327169994305491,KainosSoftwareLtd_727600483762151-sfia-rate-card-2022-05-17-0813.pdf
1347,Capgemini UK plc,Agile Coaching/Ways of Working Training Services,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/824116069290146,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
1348,KPMG LLP,KPMG Powered Procurement,"360 to 2,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/983660162371512,KPMGLLP_341058641615377-sfia-rate-card-2022-05-17-1049.pdf
1349,Equal Experts UK Limited,UX Forms - An enterprise-ready cloud platform for webform development,"3,000 a licence a month",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/944603426373402,
1350,Cognizant Worldwide Limited,Low Code Service Delivery,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/864720903106181,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
1351,Deloitte LLP,Cloud Legal Support,55 a unit an hour,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/135048210578459,
1352,Capgemini UK plc,Business Change Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/532718928091013,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
1353,Equal Experts UK Limited,"Build, Run and Operate on Microsoft Azure Cloud","250 to 1,500 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/141783658758864,EqualExpertsUKLimited_431777448349512-sfia-rate-card-2022-04-13-1006.pdf
1354,Kainos Software Ltd,Digital Workflow,595.00 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/128350960699855,KainosSoftwareLtd_727600483762151-sfia-rate-card-2022-05-17-0813.pdf
1355,Ernst & Young LLP (EY),Dispute Services,400 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/503961232817672,
1356,KPMG LLP,KPMG Connected Solutions,"25,000 a licence",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/926467449137338,
1357,Deloitte LLP,"Cloud Enterprise Resource Planning (ERP) Feasibility, Specification and Selection",390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/661036967534291,
1358,Capgemini UK plc,Atlassian Easy Start,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/645365724258954,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
1359,Cognizant Worldwide Limited,Power Platform CoE,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/471978791900485,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
1360,Ernst & Young LLP (EY),ServiceNow IT Operations Management (ITOM),"200 to 2,600 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/274225329200839,
1361,Equal Experts UK Limited,Disruptive Strategy Workshops,"250 to 1,500 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/983232114282846,EqualExpertsUKLimited_431777448349512-sfia-rate-card-2022-04-13-1006.pdf
1362,KPMG LLP,KPMG Powered Finance,"360 to 2,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/990008994498011,KPMGLLP_341058641615377-sfia-rate-card-2022-05-17-1049.pdf
1363,Kainos Software Ltd,Digital Experience  Strategy,595.00 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/172560816815720,KainosSoftwareLtd_727600483762151-sfia-rate-card-2022-05-17-0813.pdf
1364,Mason Advisory Limited,Project and Portfolio Management Capability Assessment and Transformation,"500 to 1,575 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/942578796567433,MasonAdvisoryLimited_942578796567433-sfia-rate-card-2023-06-26-1131.pdf
1365,KPMG LLP,KPMG Powered HR,"360 to 2,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/104693996383113,KPMGLLP_341058641615377-sfia-rate-card-2022-05-17-1049.pdf
1366,Deloitte LLP,Microsoft Analytics and Business Intelligence,390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/911311487784535,
1367,Cognizant Worldwide Limited,Customer Communication Management (CCM) - OpenText Exstream,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/271826963727531,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
1368,Capgemini UK plc,Low/No-code solutions with Microsoft Power Platform Services,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/277940496572546,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
1369,Ernst & Young LLP (EY),Microsoft Dynamics 365 Project Services Automation Solution,"400 to 2,600 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/827954790394160,
1370,Equal Experts UK Limited,User Research,"250 to 1,500 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/558598120148375,EqualExpertsUKLimited_431777448349512-sfia-rate-card-2022-04-13-1006.pdf
1371,Mason Advisory Limited,"Digital Data Strategy, Architecture, Analytics Assessment, and Implementation","500 to 1,575 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/136232566214319,MasonAdvisoryLimited_942578796567433-sfia-rate-card-2023-06-26-1131.pdf
1372,Kainos Software Ltd,"Digital Applications: Design, Build and Run",595.00 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/522159938836621,KainosSoftwareLtd_727600483762151-sfia-rate-card-2022-05-17-0813.pdf
1373,Deloitte LLP,Cloud Digital Strategy and Service Design,390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/423503132162788,
1374,Capgemini UK plc,Digital Architecture as a Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/829221908501410,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
1375,Ernst & Young LLP (EY),Microsoft Dynamics 365 Upgrades and On-Premise Migration,"400 to 2,600 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/500263478355339,
1376,Equal Experts UK Limited,"Build, Run and Operate on Google Cloud Platform (GCP)","250 to 1,500 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/481778002666903,EqualExpertsUKLimited_431777448349512-sfia-rate-card-2022-04-13-1006.pdf
1377,KPMG LLP,KPMG Powered Risk,"360 to 2,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/410423113114464,KPMGLLP_341058641615377-sfia-rate-card-2022-05-17-1049.pdf
1378,Kainos Software Ltd,Data Platform Advisory and Implementation,595.00 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/972738191121350,KainosSoftwareLtd_727600483762151-sfia-rate-card-2022-05-17-0813.pdf
1379,Mason Advisory Limited,Application Optimisation,"500 to 1,575 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/894563509851889,MasonAdvisoryLimited_942578796567433-sfia-rate-card-2023-06-26-1131.pdf
1380,Cognizant Worldwide Limited,Azure Migration Services,"8,814 a unit",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/701123831295268,CognizantWorldwideLimited_157552930737303-sfia-rate-card-2022-05-10-1430.pdf
1381,Ernst & Young LLP (EY),Microsoft Dynamics 365 Customer Self-Service Portals,"400 to 2,600 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/937123820374683,
1382,Deloitte LLP,"Build, Migrate, and Manage SAP Systems with Click Automation",390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/771762983555635,
1383,Capgemini UK plc,Oracle Digital Back-Office for Higher Education,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/579661035625238,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
1384,Kainos Software Ltd,Modern Data Architecture and Engineering,595.00 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/226253217060774,KainosSoftwareLtd_727600483762151-sfia-rate-card-2022-05-17-0813.pdf
1385,Mason Advisory Limited,Emergency Services Network Assessment and Implementation,"500 to 1,575 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/454696404380875,MasonAdvisoryLimited_942578796567433-sfia-rate-card-2023-06-26-1131.pdf
1386,KPMG LLP,KPMG Powered ESM,"360 to 2,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/304171078141405,KPMGLLP_341058641615377-sfia-rate-card-2022-05-17-1049.pdf
1387,Equal Experts UK Limited,Data Engineering on Amazon Web Services (AWS),"250 to 1,500 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/782473700318209,EqualExpertsUKLimited_431777448349512-sfia-rate-card-2022-04-13-1006.pdf
1388,Cognizant Worldwide Limited,DevOps Cloud Support Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/385609621700001,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
1389,Mason Advisory Limited,"Enterprise Architecture Assessment, and Implementation","500 to 1,575 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/831396059007491,MasonAdvisoryLimited_942578796567433-sfia-rate-card-2023-06-26-1131.pdf
1390,Deloitte LLP,Assessment of Cloud Services Supply Chain and Supplier Integration,390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/137287272763018,
1391,Cognizant Worldwide Limited,Intranet,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/882939845982169,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
1392,Capgemini UK plc,Team Collaboration Solutions,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/415419749006034,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
1393,Kainos Software Ltd,Advanced analytics and insights transformation,595.00 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/200007494246766,KainosSoftwareLtd_727600483762151-sfia-rate-card-2022-05-17-0813.pdf
1394,Equal Experts UK Limited,Legacy Migration to Microsoft Azure Cloud,"250 to 1,500 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/446914891099865,EqualExpertsUKLimited_431777448349512-sfia-rate-card-2022-04-13-1006.pdf
1395,Ernst & Young LLP (EY),ServiceNow Architecture Design,"200 to 2,600 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/708220841591821,
1396,KPMG LLP,Defining Control Requirements for Cloud Procurement,"360 to 2,560 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/131143655173785,KPMGLLP_131143655173785-sfia-rate-card-2022-05-17-1008.pdf
1397,Mason Advisory Limited,"Contact Centre Strategy, Assessment, Sourcing and Implementation","500 to 1,575 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/973652122231374,MasonAdvisoryLimited_942578796567433-sfia-rate-card-2023-06-26-1131.pdf
1398,Kainos Software Ltd,Robotic Process Automation (RPA) and Intelligent Automation (IA),595.00 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/548977582064367,KainosSoftwareLtd_727600483762151-sfia-rate-card-2022-05-17-0813.pdf
1399,Cognizant Worldwide Limited,Cloud Optimisation & Healthcheck Assessment (incl elements of WAF),"600 to 2,000 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/818010539362436,CognizantWorldwideLimited_810500948793388-sfia-rate-card-2022-05-18-0001.pdf
1400,Equal Experts UK Limited,DevSecOps Accelerator,"250 to 1,500 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/188549416681928,EqualExpertsUKLimited_431777448349512-sfia-rate-card-2022-04-13-1006.pdf
1401,Ernst & Young LLP (EY),People and Workforce Advanced Analytics and Data Science,400 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/485675481769703,
1402,Deloitte LLP,"Cyber Threat, Monitoring and Intelligence Services",390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/857890941679903,
1403,Capgemini UK plc,Information / Data Governance Services,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/312157878929387,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
1404,KPMG LLP,Cyber Security Privileged Access Management,"360 to 2,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/390741695603880,
1405,Mason Advisory Limited,Operational Resilience Capability Assessment and Improvement,"500 to 1,575 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/633682662628115,MasonAdvisoryLimited_942578796567433-sfia-rate-card-2023-06-26-1131.pdf
1406,Cognizant Worldwide Limited,Migrating applications to the cloud,"600 to 2,000 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/417807329938369,CognizantWorldwideLimited_810500948793388-sfia-rate-card-2022-05-18-0001.pdf
1407,Deloitte LLP,Customer Engagement Systems Implementation,390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/235254832383170,
1408,Ernst & Young LLP (EY),Cloud-enabled Fraud Risk Management,400 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/854694642346425,
1409,KPMG LLP,Data Science Capability Adoption Partner,"325 to 2,325 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/327618063739727,
1410,Capgemini UK plc,Procurement Operating Model Service,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/325507152536634,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
1411,Equal Experts UK Limited,Continuous Delivery for Google Cloud Platform (GCP),"250 to 1,500 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/715067741310265,EqualExpertsUKLimited_431777448349512-sfia-rate-card-2022-04-13-1006.pdf
1412,Mason Advisory Limited,Project and Portfolio Management Tool Sourcing and Implementation,"500 to 1,575 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/144695841346754,MasonAdvisoryLimited_942578796567433-sfia-rate-card-2023-06-26-1131.pdf
1413,Deloitte LLP,Cyber Incident Response,"100,000 a licence a year",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/145461532215600,
1414,Cognizant Worldwide Limited,Adoption and Value Creation,"1,500 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/582802592365169,CognizantWorldwideLimited_157552930737303-sfia-rate-card-2022-05-10-1430.pdf
1415,KPMG LLP,Contract & Supplier Governance Services for Cloud Services,"360 to 2,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/412224213299653,KPMGLLP_341058641615377-sfia-rate-card-2022-05-17-1049.pdf
1416,Equal Experts UK Limited,"Data Recovery, Conversion and Migration","250 to 1,500 a person a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/778831474857571,EqualExpertsUKLimited_431777448349512-sfia-rate-card-2022-04-13-1006.pdf
1417,Capgemini UK plc,Multi-channel Communication and Digital Marketing,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/956192056915193,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
1418,Kainos Software Ltd,Serverless Application Development,595.00 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/142599993190812,KainosSoftwareLtd_727600483762151-sfia-rate-card-2022-05-17-0813.pdf
1419,Ernst & Young LLP (EY),Cyber Maturity Assessment,"200 to 2,600 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/343936535004347,
1420,Cognizant Worldwide Limited,Business Intelligence Proof Of Concept and Pilot Services,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/464597668077980,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
1421,Ernst & Young LLP (EY),Cloud Migration Planning,400 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/580005763394867,Ernst&YoungLLP(EY)_510140384720685-sfia-rate-card-2022-05-11-0957.pdf
1422,Capgemini UK plc,Cybersecurity - Security Management - Advise and Build,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/101459795693825,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
1423,KPMG LLP,Technology Business Management (TBM),"360 to 2,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/192858421299972,KPMGLLP_341058641615377-sfia-rate-card-2022-05-17-1049.pdf
1424,Deloitte LLP,LeaseLight for IFRS 16 Reporting,"40,000 a licence",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/128482851246116,
1425,Kainos Software Ltd,Usability Testing,595.00 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/311743411458971,KainosSoftwareLtd_727600483762151-sfia-rate-card-2022-05-17-0813.pdf
1426,Mason Advisory Limited,Service Continuity Assessment and Improvement,"500 to 1,575 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/446568349308522,MasonAdvisoryLimited_942578796567433-sfia-rate-card-2023-06-26-1131.pdf
1427,Cognizant Worldwide Limited,Unlocking Observability in your Organisation,"600 to 2,000 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/343901381771214,CognizantWorldwideLimited_810500948793388-sfia-rate-card-2022-05-18-0001.pdf
1428,Mason Advisory Limited,"Governance, Risk and Compliance Capability Assessment and Improvement","500 to 1,575 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/292395212049195,MasonAdvisoryLimited_942578796567433-sfia-rate-card-2023-06-26-1131.pdf
1429,KPMG LLP,IT Financial Management,"360 to 2,550 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/208957806508194,KPMGLLP_341058641615377-sfia-rate-card-2022-05-17-1049.pdf
1430,Ernst & Young LLP (EY),Cloud Innovation,400 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/610805616656787,
1431,Deloitte LLP,Electronic Patient Record (EPR) Cloud Solution Design and Implementation,390 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/679629241273221,
1432,Capgemini UK plc,POLE Analytics Services,312 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/557720482415850,CapgeminiUKplc_210605990251341-sfia-rate-card-2022-05-16-1140.pdf
1433,Kainos Software Ltd,Cloud Cost Optimisation  (FinOps ),595.00 a unit a day,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/249882852182911,KainosSoftwareLtd_727600483762151-sfia-rate-card-2022-05-17-0813.pdf
1434,Mason Advisory Limited,Digital and Technology Sourcing,"500 to 1,575 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/491012759991255,MasonAdvisoryLimited_942578796567433-sfia-rate-card-2023-06-26-1131.pdf
1435,Ernst & Young LLP (EY),Microsoft Office 365 Consultancy Services,"400 to 2,600 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/355060647864243,
1436,Cognizant Worldwide Limited,Desktop Image Engineering Service,"400 to 2,100 a unit a day",https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/217872653181365,CognizantWorldwideLimited_444641860512457-sfia-rate-card-2022-05-05-1028.pdf
1437,"McKinsey & Company, Inc. United Kingdom",Digital McKinsey – Cloud Solution Design and Implementation,0 to 0 a transaction,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/255078177831504,
1438,Deloitte LLP,eDiscovery (eDisclosure) and Digital Forensics,20 a gigabyte a month,https://www.applytosupply.digitalmarketplace.service.gov.uk/g-cloud/services/362201078871113,
